Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=4, epoch=0, from=3
Drop message: type=WRITE, number=4, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=1, epoch=0, from=2
Drop message: type=WRITE, number=1, epoch=0, from=3
Drop message: type=WRITE, number=2, epoch=0, from=2
Drop message: type=WRITE, number=2, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=0, from=3
Drop message: type=WRITE, number=3, epoch=0, from=2
Drop message: type=WRITE, number=5, epoch=0, from=2
Drop message: type=WRITE, number=5, epoch=0, from=3
Drop message: type=WRITE, number=6, epoch=0, from=3
Drop message: type=WRITE, number=6, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=1, epoch=2, from=2
Drop message: type=WRITE, number=1, epoch=3, from=3
Drop message: type=WRITE, number=1, epoch=6, from=2
Drop message: type=WRITE, number=1, epoch=7, from=3
Drop message: type=WRITE, number=1, epoch=10, from=2
Drop message: type=WRITE, number=1, epoch=11, from=3
Drop message: type=WRITE, number=1, epoch=14, from=2
Drop message: type=WRITE, number=1, epoch=15, from=3
Drop message: type=WRITE, number=1, epoch=18, from=2
Drop message: type=WRITE, number=1, epoch=19, from=3
Drop message: type=WRITE, number=1, epoch=22, from=2
Drop message: type=WRITE, number=1, epoch=23, from=3
Drop message: type=WRITE, number=1, epoch=26, from=2
Drop message: type=WRITE, number=1, epoch=27, from=3
Drop message: type=WRITE, number=1, epoch=30, from=2
Drop message: type=WRITE, number=1, epoch=31, from=3
Drop message: type=WRITE, number=1, epoch=34, from=2
Drop message: type=WRITE, number=1, epoch=35, from=3
Drop message: type=WRITE, number=0, epoch=0, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=1, from=3
Drop message: type=WRITE, number=0, epoch=1, from=2
Drop message: type=WRITE, number=0, epoch=2, from=2
Drop message: type=WRITE, number=0, epoch=2, from=3
Drop message: type=WRITE, number=1, epoch=3, from=3
Drop message: type=WRITE, number=1, epoch=6, from=2
Drop message: type=WRITE, number=1, epoch=7, from=3
Drop message: type=WRITE, number=0, epoch=0, from=2
Drop message: type=WRITE, number=0, epoch=0, from=3
